province,year,month,week,total_cases
28 Monseñor Nouel,2015,0,1,0
28 Monseñor Nouel,2015,1,2,3
28 Monseñor Nouel,2015,1,3,1
28 Monseñor Nouel,2015,1,4,1
28 Monseñor Nouel,2015,2,5,4
28 Monseñor Nouel,2015,2,6,5
28 Monseñor Nouel,2015,2,7,2
28 Monseñor Nouel,2015,2,8,1
28 Monseñor Nouel,2015,3,9,1
28 Monseñor Nouel,2015,3,10,1
28 Monseñor Nouel,2015,3,11,1
28 Monseñor Nouel,2015,3,12,1
28 Monseñor Nouel,2015,3,13,3
28 Monseñor Nouel,2015,3,14,0
28 Monseñor Nouel,2015,4,15,2
28 Monseñor Nouel,2015,4,16,4
28 Monseñor Nouel,2015,4,17,2
28 Monseñor Nouel,2015,5,18,3
28 Monseñor Nouel,2015,5,19,3
28 Monseñor Nouel,2015,5,20,2
28 Monseñor Nouel,2015,5,21,1
28 Monseñor Nouel,2015,5,22,0
28 Monseñor Nouel,2015,6,23,3
28 Monseñor Nouel,2015,6,24,5
28 Monseñor Nouel,2015,6,25,6
28 Monseñor Nouel,2015,7,26,3
28 Monseñor Nouel,2015,7,27,6
28 Monseñor Nouel,2015,7,28,4
28 Monseñor Nouel,2015,7,29,7
28 Monseñor Nouel,2015,8,30,9
28 Monseñor Nouel,2015,8,31,17
28 Monseñor Nouel,2015,8,32,15
28 Monseñor Nouel,2015,8,33,16
28 Monseñor Nouel,2015,8,34,8
28 Monseñor Nouel,2015,9,35,18
28 Monseñor Nouel,2015,9,36,13
28 Monseñor Nouel,2015,9,37,6
28 Monseñor Nouel,2015,9,38,11
28 Monseñor Nouel,2015,10,39,15
28 Monseñor Nouel,2015,10,40,29
28 Monseñor Nouel,2015,10,41,31
28 Monseñor Nouel,2015,10,42,18
28 Monseñor Nouel,2015,10,43,28
28 Monseñor Nouel,2015,11,44,1
28 Monseñor Nouel,2015,11,45,7
28 Monseñor Nouel,2015,11,46,16
28 Monseñor Nouel,2015,11,47,9
28 Monseñor Nouel,2015,12,48,4
28 Monseñor Nouel,2015,12,49,2
28 Monseñor Nouel,2015,12,50,5
28 Monseñor Nouel,2015,12,51,0
28 Monseñor Nouel,2015,12,52,7
28 Monseñor Nouel,2016,1,1,4
28 Monseñor Nouel,2016,1,2,1
28 Monseñor Nouel,2016,1,3,2
28 Monseñor Nouel,2016,1,4,7
28 Monseñor Nouel,2016,2,5,4
28 Monseñor Nouel,2016,2,6,2
28 Monseñor Nouel,2016,2,7,8
28 Monseñor Nouel,2016,2,8,1
28 Monseñor Nouel,2016,3,9,4
28 Monseñor Nouel,2016,3,10,3
28 Monseñor Nouel,2016,3,11,0
28 Monseñor Nouel,2016,3,12,0
28 Monseñor Nouel,2016,3,13,1
28 Monseñor Nouel,2016,4,14,4
28 Monseñor Nouel,2016,4,15,1
28 Monseñor Nouel,2016,4,16,1
28 Monseñor Nouel,2016,4,17,0
28 Monseñor Nouel,2016,4,18,0
28 Monseñor Nouel,2016,5,19,1
28 Monseñor Nouel,2016,5,20,2
